id,x,y,z,hit,net,bounce,time,shotId
1065198,5.636,-3.365,0.037,0,0,1,1.358,385963
1065199,12.052,-4.813,1.175,1,0,0,1.623,385964
1065200,0.003,-0.803,1.624,0,1,0,2.052,385964
1065201,-10.227,2.471,0.037,0,0,1,2.521,385964
1065202,-11.511,2.860,0.407,1,0,0,2.617,385965
1065203,-0.010,-0.147,2.311,0,1,0,3.182,385965
1065204,12.042,-3.332,0.037,0,0,1,3.970,385965
1065205,14.033,-3.919,0.995,1,0,0,4.266,385966
1065206,-11.385,1.199,2.705,1,0,0,0.922,385967
1065207,-0.025,-0.232,1.324,0,1,0,1.150,385967
1065208,7.255,-0.983,0.037,0,0,1,1.326,385967
1065209,-11.391,-0.429,2.855,1,0,0,0.757,385968
1065210,-0.022,1.568,1.304,0,1,0,1.037,385968
1065211,5.593,2.877,0.037,0,0,1,1.207,385968
1065212,11.204,4.325,1.278,1,0,0,1.479,385969
1065213,0.002,2.945,1.625,0,1,0,2.057,385969
1065214,-7.934,2.072,0.037,0,0,1,2.572,385969
1065215,-11.621,1.818,0.690,1,0,0,3.011,385970
1065216,-0.312,2.758,2.427,0,1,0,3.372,385970
1065217,6.732,2.500,0.037,0,0,1,4.919,385970
1065218,10.320,2.504,1.531,1,0,0,5.754,385971
1065219,0.015,-0.442,1.435,0,1,0,6.030,385971
1065220,-8.756,-2.842,0.037,0,0,1,6.324,385971
1065221,-12.219,-3.770,0.811,1,0,0,6.511,385972
1065222,-0.010,-0.534,1.637,0,1,0,7.024,385972
1065223,7.284,1.455,0.037,0,0,1,7.413,385972
1065224,10.166,2.347,1.121,1,0,0,7.680,385973
1065225,-11.394,-0.876,2.695,1,0,0,0.877,385974
1065226,-0.024,2.218,1.246,0,1,0,1.132,385974
1065227,6.231,4.229,0.037,0,0,1,1.303,385974
1065228,-11.385,1.192,2.890,1,0,0,1.054,385975
1065229,-0.009,-2.026,1.135,0,1,0,1.290,385975
1065230,5.455,-3.502,0.037,0,0,1,1.425,385975
1065231,12.067,-5.237,1.159,1,0,0,1.670,385976
1065232,-11.388,-0.736,2.905,1,0,0,0.921,385977
1065233,-0.013,-0.416,1.143,0,1,0,1.155,385977
1065234,5.570,-0.097,0.037,0,0,1,1.290,385977
1065235,-11.389,-0.584,2.796,1,0,0,0.950,385978
1065236,-0.005,2.752,1.600,0,1,0,1.261,385978
1065237,3.730,0.570,0.037,0,0,1,1.385,385978
1065238,-11.394,1.538,2.874,1,0,0,0.986,385979
1065239,-0.014,-0.348,1.224,0,1,0,1.253,385979
1065240,5.451,-0.998,0.037,0,0,1,1.405,385979
1065241,11.669,-1.587,1.354,1,0,0,1.677,385980
1065242,0.002,1.608,1.318,0,1,0,2.186,385980
1065243,-6.159,3.523,0.037,0,0,1,2.518,385980
1065244,-10.444,4.888,0.755,1,0,0,2.890,385981
1065245,11.393,-1.222,2.687,1,0,0,1.020,385982
1065246,-0.006,-0.065,1.147,0,1,0,3.646,385981
