id,playerName,playerNumber,speed,shotType,spin,spinRpm,pointId,isServe,distance,result
389718,FEDERER,ATPF324,58.36,BACKHAND,TOPSPIN,1629.55,112909,0,NULL,NULL
389719,DJOKOVIC,ATPD643,69.62,BACKHAND,TOPSPIN,2260.53,112909,0,NULL,NULL
389720,FEDERER,ATPF324,65.06,BACKHAND,TOPSPIN,2910.33,112909,0,NULL,NULL
389721,DJOKOVIC,ATPD643,92.70,FOREHAND,TOPSPIN,3095.55,112909,0,NULL,NULL
389722,DJOKOVIC,ATPD643,116.80,NOT LOGGED,NOSPIN,0.00,112910,1,NULL,NULL
389723,FEDERER,ATPF324,119.25,NOT LOGGED,NOSPIN,0.00,112911,1,NULL,NULL
389724,FEDERER,ATPF324,71.49,FOREHAND,TOPSPIN,3285.93,112909,0,NULL,NULL
389725,DJOKOVIC,ATPD643,57.23,FOREHAND,TOPSPIN,1314.52,112911,0,NULL,NULL
389726,FEDERER,ATPF324,82.19,FOREHAND,TOPSPIN,2950.98,112911,0,NULL,NULL
389727,DJOKOVIC,ATPD643,100.81,NOT LOGGED,NOSPIN,0.00,112912,1,NULL,NULL
389728,DJOKOVIC,ATPD643,114.29,NOT LOGGED,NOSPIN,0.00,112913,1,NULL,NULL
389729,FEDERER,ATPF324,47.24,BACKHAND,TOPSPIN,870.27,112913,0,NULL,NULL
389730,DJOKOVIC,ATPD643,75.26,FOREHAND,TOPSPIN,3536.32,112913,0,NULL,NULL
389731,DJOKOVIC,ATPD643,117.03,NOT LOGGED,NOSPIN,0.00,112914,1,NULL,NULL
389732,DJOKOVIC,ATPD643,112.76,NOT LOGGED,NOSPIN,0.00,112915,1,NULL,NULL
389733,DJOKOVIC,ATPD643,98.40,NOT LOGGED,NOSPIN,0.00,112916,1,NULL,NULL
389734,FEDERER,ATPF324,100.67,FOREHAND,TOPSPIN,1121.05,112915,0,NULL,NULL
389735,FEDERER,ATPF324,100.67,BACKHAND,BACKSPIN,3157.92,112916,0,NULL,NULL
